soc_code,title,sector,median_salary,baseline_risk,ai_velocity,remote_feasibility,creativity_weight,social_weight,physical_weight,description
11-1011,Chief Executives,Management,185950,0.15,0.40,0.70,0.65,0.80,0.05,Strategic leadership and decision-making
11-1021,General and Operations Managers,Management,97970,0.25,0.45,0.65,0.55,0.70,0.10,Plan and oversee daily operations
11-2021,Marketing Managers,Management,135900,0.35,0.75,0.85,0.70,0.65,0.05,Develop marketing strategies
11-3031,Financial Managers,Management,134180,0.40,0.70,0.90,0.45,0.60,0.05,Financial planning and analysis
11-9111,Medical and Health Services Managers,Healthcare,104280,0.20,0.50,0.60,0.50,0.75,0.15,Coordinate healthcare delivery
13-1051,Cost Estimators,Business,65250,0.65,0.75,0.90,0.35,0.45,0.05,Estimate project costs
13-1111,Management Analysts,Business,93000,0.55,0.70,0.85,0.60,0.65,0.05,Improve organizational efficiency
13-1161,Market Research Analysts,Business,63790,0.60,0.80,0.95,0.55,0.50,0.05,Study market conditions
13-2011,Accountants and Auditors,Finance,77250,0.70,0.75,0.95,0.30,0.45,0.05,Prepare and examine financial records
13-2051,Financial Analysts,Finance,81410,0.65,0.80,0.95,0.45,0.50,0.05,Assess financial performance
13-2052,Personal Financial Advisors,Finance,94170,0.35,0.60,0.75,0.50,0.85,0.05,Provide financial guidance
13-2072,Loan Officers,Finance,63380,0.60,0.70,0.80,0.30,0.70,0.05,Evaluate loan applications
15-1211,Computer Systems Analysts,Technology,99270,0.55,0.85,0.95,0.60,0.55,0.05,Analyze IT systems
15-1212,Information Security Analysts,Technology,102600,0.40,0.80,0.95,0.65,0.55,0.05,Protect computer systems
15-1244,Network Architects,Technology,120650,0.50,0.75,0.90,0.70,0.50,0.05,Design network infrastructure
15-1251,Computer Programmers,Technology,93000,0.70,0.90,0.98,0.55,0.35,0.02,Write and test code
15-1252,Software Developers,Technology,110140,0.50,0.85,0.98,0.75,0.50,0.02,Develop software applications
15-1256,Software Quality Assurance,Technology,98220,0.75,0.85,0.95,0.45,0.45,0.05,Test software for defects
15-1299,Computer Occupations,Technology,93760,0.60,0.85,0.95,0.60,0.50,0.05,Various IT roles
17-2051,Civil Engineers,Engineering,88050,0.40,0.60,0.70,0.65,0.60,0.20,Design infrastructure projects
17-2061,Computer Hardware Engineers,Engineering,128170,0.45,0.75,0.80,0.70,0.55,0.15,Design computer systems
17-2071,Electrical Engineers,Engineering,101780,0.50,0.70,0.75,0.65,0.55,0.20,Design electrical systems
17-2112,Industrial Engineers,Engineering,95300,0.55,0.70,0.75,0.60,0.60,0.15,Optimize production processes
17-2141,Mechanical Engineers,Engineering,95300,0.45,0.65,0.70,0.70,0.55,0.25,Design mechanical systems
19-1042,Medical Scientists,Science,95310,0.30,0.60,0.70,0.75,0.65,0.30,Conduct medical research
19-2021,Atmospheric Scientists,Science,99740,0.35,0.65,0.80,0.70,0.60,0.20,Study weather and climate
19-3011,Economists,Science,105630,0.45,0.70,0.90,0.70,0.55,0.05,Analyze economic issues
19-3031,Clinical Psychologists,Healthcare,81040,0.20,0.45,0.60,0.70,0.90,0.10,Diagnose mental health conditions
19-3051,Urban and Regional Planners,Government,78500,0.50,0.65,0.75,0.70,0.70,0.15,Develop land use plans
21-1011,Substance Abuse Counselors,Healthcare,48520,0.15,0.30,0.50,0.60,0.95,0.20,Help people overcome addiction
21-1012,Educational Counselors,Education,60510,0.20,0.40,0.60,0.65,0.90,0.15,Guide students and career planning
21-1014,Mental Health Counselors,Healthcare,49130,0.15,0.35,0.55,0.65,0.95,0.15,Provide mental health support
21-1015,Rehabilitation Counselors,Healthcare,38560,0.20,0.40,0.55,0.60,0.90,0.25,Help people with disabilities
23-1011,Lawyers,Legal,126930,0.40,0.65,0.80,0.70,0.75,0.05,Represent clients in legal matters
23-1021,Administrative Law Judges,Legal,122990,0.25,0.50,0.60,0.70,0.80,0.10,Preside over hearings
23-2011,Paralegals,Legal,56230,0.70,0.75,0.90,0.40,0.55,0.05,Assist lawyers with research
25-1011,Business Teachers,Education,79640,0.30,0.50,0.70,0.65,0.85,0.10,Teach business courses
25-1021,Computer Science Teachers,Education,87680,0.25,0.55,0.75,0.70,0.85,0.05,Teach computer science
25-1072,Nursing Instructors,Education,77440,0.20,0.45,0.65,0.65,0.90,0.20,Train nursing students
25-2021,Elementary School Teachers,Education,60660,0.30,0.50,0.60,0.75,0.95,0.20,Teach elementary students
25-2022,Middle School Teachers,Education,60810,0.30,0.50,0.60,0.75,0.95,0.20,Teach middle school students
25-2031,Secondary School Teachers,Education,62870,0.30,0.50,0.65,0.75,0.90,0.15,Teach high school students
25-3021,Self-Enrichment Teachers,Education,44270,0.35,0.45,0.70,0.80,0.90,0.25,Teach hobby or vocational courses
27-1011,Art Directors,Creative,100890,0.30,0.60,0.85,0.95,0.70,0.05,Design visual communication
27-1012,Craft Artists,Creative,38650,0.25,0.40,0.60,0.95,0.50,0.70,Create handmade objects
27-1013,Fine Artists,Creative,52340,0.20,0.35,0.55,0.98,0.45,0.60,Create original artwork
27-1014,Multimedia Artists,Creative,78790,0.50,0.75,0.90,0.90,0.55,0.05,Create visual effects
27-1024,Graphic Designers,Creative,53380,0.60,0.80,0.95,0.85,0.50,0.05,Design visual materials
27-1025,Interior Designers,Creative,60340,0.40,0.55,0.70,0.90,0.80,0.30,Design interior spaces
27-2012,Producers and Directors,Media,76400,0.25,0.50,0.70,0.95,0.85,0.20,Oversee media production
27-2042,Musicians and Singers,Arts,30.39,0.20,0.40,0.60,0.98,0.75,0.50,Perform music
27-3031,Public Relations Specialists,Marketing,62800,0.45,0.70,0.90,0.75,0.80,0.05,Manage public image
27-3041,Editors,Media,63400,0.55,0.75,0.95,0.80,0.60,0.05,Review and revise content
27-3043,Writers and Authors,Creative,69510,0.45,0.70,0.95,0.95,0.55,0.05,Create written content
